Finland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.024516129032258083,0.11,,,,
1,1801,0.46451612903225803,0.05,,,,
2,1802,-0.04548387096774198,-0.0,,,,
3,1803,-0.27548387096774196,-0.05,,,,
4,1804,-0.09548387096774191,-0.1,,,,
5,1805,-0.5254838709677419,-0.15,,,,
6,1806,0.3945161290322581,-0.19,,,,
7,1807,-0.09548387096774191,-0.24,,,,
8,1808,0.014516129032258074,-0.28,,,,
9,1809,-1.175483870967742,-0.31,,,,
10,1810,-1.355483870967742,-0.32,,,,
11,1811,0.09451612903225803,-0.31,,,,
12,1812,-1.095483870967742,-0.29,,,,
13,1813,0.454516129032258,-0.27,,,,
14,1814,-0.8054838709677419,-0.23,,,,
15,1815,0.334516129032258,-0.16,,,,
16,1816,-0.38548387096774195,-0.08,,,,
17,1817,-0.39548387096774196,0.02,,,,
18,1818,0.6445161290322581,0.12,,,,
19,1819,0.28451612903225804,0.22,,,,
20,1820,-0.26548387096774195,0.3,,,,
21,1821,0.22451612903225804,0.36,,,,
22,1822,2.064516129032258,0.4,,,,
23,1823,0.35451612903225804,0.42,,,,
24,1824,0.43451612903225806,0.43,,,,
25,1825,0.864516129032258,0.44,,,,
26,1826,2.374516129032258,0.45,,,,
27,1827,0.6345161290322581,0.45,,,,
28,1828,-0.13548387096774195,0.44,,,,
29,1829,-1.155483870967742,0.4,,,,
30,1830,0.22451612903225804,0.34,,,,
31,1831,0.24451612903225806,0.28,,,,
32,1832,0.984516129032258,0.21,,,,
33,1833,0.5145161290322581,0.15,,,,
34,1834,0.38451612903225807,0.11,,,,
35,1835,-0.185483870967742,0.1,,,,
36,1836,-0.11548387096774193,0.1,,,,
37,1837,0.08451612903225802,0.09,,,,
38,1838,-1.005483870967742,0.08,,,,
39,1839,-0.015483870967741953,0.06,,,,
40,1840,-0.40548387096774197,0.06,,,,
41,1841,0.48451612903225805,0.06,,,,
42,1842,0.854516129032258,0.07,,,,
43,1843,0.6245161290322581,0.1,,,,
44,1844,-0.8254838709677419,0.13,,,,
45,1845,-0.36548387096774193,0.16,,,,
46,1846,0.724516129032258,0.19,,,,
47,1847,0.574516129032258,0.21,,,,
